Exported on: 2025-03-25 02:59:02

User ID,User Type,Actions,Date,Time
2250001.0,Admin,Login,2025-02-17,21:45:57
2250002.0,Admin,Login,2025-02-17,22:03:32
2250003.0,Admin,Login,2025-02-17,22:04:47
2240000.0,Student,Login,2025-02-18,18:08:59
2240001.0,Student,Login,2025-02-18,18:10:32
Admin Test,Admin,Logout,2025-03-06,21:10:23
Admin Test,Admin,Logout,2025-03-22,11:18:27
Admin Test,Admin,Logout,2025-03-22,14:23:02
Admin Test,Admin,Logout,2025-03-22,14:26:28
Test Student,Student,Logout,2025-03-22,14:46:22
Admin Test,Admin,Logout,2025-03-22,14:47:33
1,Admin,Login,2025-03-22,15:24:35
Admin Test,Admin,Logout,2025-03-22,15:24:55
1,Admin,Login,2025-03-22,15:28:31
1,Admin,Login,2025-03-22,18:09:42
1,Student,Login,2025-03-23,03:29:38
1,Student,Login,2025-03-23,03:33:12
Test Student,Student,Logout,2025-03-23,03:33:16
1,Admin,Login,2025-03-23,04:12:22
1,Admin,Login,2025-03-23,04:15:22
1,Admin,Login,2025-03-23,04:26:44
1,Admin,Login,2025-03-23,04:28:31
1,Admin,Login,2025-03-23,10:43:59
2240841,Student,Login,2025-03-23,12:09:58
Kristelle,Student,Logout,2025-03-23,12:10:02
1,Student,Login,2025-03-23,14:53:52
1,Student,Login,2025-03-23,15:13:57
1,Student,Login,2025-03-23,15:16:10
1,Student,Login,2025-03-23,15:25:58
1,Student,Login,2025-03-23,15:28:01
1,Student,Login,2025-03-23,15:34:01
1,Student,Login,2025-03-23,15:38:02
1,Student,Login,2025-03-23,15:39:05
1,Student,Login,2025-03-23,15:46:34
1,Student,Login,2025-03-23,15:47:30
1,Student,Login,2025-03-23,15:51:38
1,Student,Login,2025-03-23,15:55:46
1,Student,Login,2025-03-23,15:59:54
1,Student,Login,2025-03-23,16:19:42
1,Student,Login,2025-03-23,16:21:02
1,Student,Login,2025-03-23,16:22:23
1,Student,Login,2025-03-23,17:12:35
1,Student,Login,2025-03-23,17:18:28
1,Student,Login,2025-03-23,17:29:05
1,Student,Login,2025-03-23,17:36:24
Test Student,Student,Logout,2025-03-23,17:38:35
1,Student,Login,2025-03-23,17:40:06
1,Student,Login,2025-03-23,17:44:17
1,Student,Login,2025-03-23,17:49:01
1,Student,Login,2025-03-23,17:55:47
1,Student,Login,2025-03-23,17:57:01
1,Student,Login,2025-03-23,17:57:35
1,Student,Login,2025-03-23,18:02:04
1,Student,Login,2025-03-23,18:02:52
1,Student,Login,2025-03-23,18:03:31
1,Student,Login,2025-03-23,18:04:40
1,Student,Login,2025-03-23,18:05:48
1,Student,Login,2025-03-23,18:08:24
1,Student,Login,2025-03-23,18:09:40
1,Student,Login,2025-03-23,18:10:14
1,Student,Login,2025-03-23,18:10:42
1,Student,Login,2025-03-23,18:11:08
1,Student,Login,2025-03-23,18:12:16
1,Student,Login,2025-03-23,18:13:16
1,Student,Login,2025-03-23,18:18:03
1,Student,Login,2025-03-23,18:20:33
1,Student,Login,2025-03-23,18:25:24
2240005,Student,Login,2025-03-24,13:46:49
MOLINA, BERNARDO SEBASTHIAN,Student,Logout,2025-03-24,13:56:05
0116,Admin,Login,2025-03-24,13:56:15
2240006,Student,Login,2025-03-24,14:01:14
1,Admin,Login,2025-03-24,14:17:53
Admin Test,Admin,Logout,2025-03-24,14:19:44
1,Student,Login,2025-03-24,14:19:50
Test Student,Student,Logout,2025-03-24,14:20:33
1,Admin,Login,2025-03-24,14:20:41
1,Admin,Login,2025-03-24,14:34:56
1,Student,Login,2025-03-24,14:35:27
1,Student,Login,2025-03-24,15:05:25
1,Admin,Login,2025-03-24,15:05:31
Test Student,Student,Logout,2025-03-24,15:05:55
2240001,Student,Login,2025-03-24,15:06:02
1,Admin,Login,2025-03-24,18:40:28
1,Admin,Login,2025-03-24,18:52:56
1,Admin,Login,2025-03-24,19:05:12
2250003,Admin,Login,2025-03-24,22:05:30
1,Admin,Login,2025-03-24,22:32:31
1,Admin,Login,2025-03-25,02:33:07
1,Admin,Login,2025-03-25,02:33:34
1,Admin,Login,2025-03-25,02:37:52
1,Admin,Login,2025-03-25,02:42:56
1,Admin,Login,2025-03-25,02:54:34
1,Admin,Login,2025-03-25,02:54:53
